
GBP/USD PURE STRATEGY BACKTEST RESULTS
================================================================================
Strategy: GBPUSDStrategy

PURE STRATEGY TESTING:
   Processed Bars: 7,842
   Total Available Bars: 8,091
   Processing Rate: 96.9% of bars
   Trading Costs: ZERO (Pure strategy performance)

TRADING RESULTS:
   Total Trades: 83
   Win Rate: 34.94%
   Winning Trades:
     - Trade(BUY GBP/USD, PnL: $+300.00, Entry: 2025-01-20 09:30, Exit: 2025-01-20 10:30, SL: 5.6 pips, TP: 16.8 pips, Entry Volume: 3468, Position Volume: 1.79 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-01-22 01:00, Exit: 2025-01-22 06:30, SL: 5.3 pips, TP: 15.9 pips, Entry Volume: 2287, Position Volume: 1.89 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-01-30 05:30, Exit: 2025-01-30 07:00, SL: 4.9 pips, TP: 14.7 pips, Entry Volume: 1434, Position Volume: 2.04 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-01-30 09:00, Exit: 2025-01-30 09:30, SL: 4.5 pips, TP: 13.5 pips, Entry Volume: 3889, Position Volume: 2.22 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-01-30 15:00, Exit: 2025-01-30 17:00, SL: 7.2 pips, TP: 21.6 pips, Entry Volume: 4880, Position Volume: 1.39 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-02-12 12:00, Exit: 2025-02-12 13:00, SL: 5.0 pips, TP: 15.0 pips, Entry Volume: 2309, Position Volume: 2.00 lots)
     - Trade(BUY GBP/USD, PnL: $+300.00, Entry: 2025-02-14 06:00, Exit: 2025-02-14 07:00, SL: 5.7 pips, TP: 17.1 pips, Entry Volume: 2125, Position Volume: 1.75 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-03-21 15:00, Exit: 2025-03-21 15:30, SL: 7.0 pips, TP: 21.0 pips, Entry Volume: 2748, Position Volume: 1.43 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-03-31 12:30, Exit: 2025-03-31 14:30, SL: 9.5 pips, TP: 28.5 pips, Entry Volume: 2615, Position Volume: 1.05 lots)
     - Trade(BUY GBP/USD, PnL: $+300.00, Entry: 2025-04-02 22:00, Exit: 2025-04-02 23:00, SL: 11.6 pips, TP: 34.8 pips, Entry Volume: 4225, Position Volume: 0.86 lots)
     - Trade(BUY GBP/USD, PnL: $+300.00, Entry: 2025-04-10 17:00, Exit: 2025-04-10 17:30, SL: 9.0 pips, TP: 27.0 pips, Entry Volume: 6204, Position Volume: 1.11 lots)
     - Trade(BUY GBP/USD, PnL: $+300.00, Entry: 2025-04-15 07:00, Exit: 2025-04-15 07:30, SL: 4.1 pips, TP: 12.3 pips, Entry Volume: 4657, Position Volume: 2.44 lots)
     - Trade(BUY GBP/USD, PnL: $+300.00, Entry: 2025-04-16 06:30, Exit: 2025-04-16 07:00, SL: 6.2 pips, TP: 18.6 pips, Entry Volume: 3773, Position Volume: 1.61 lots)
     - Trade(BUY GBP/USD, PnL: $+300.00, Entry: 2025-04-17 21:30, Exit: 2025-04-18 00:00, SL: 5.8 pips, TP: 17.4 pips, Entry Volume: 894, Position Volume: 1.72 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-04-23 09:00, Exit: 2025-04-23 10:00, SL: 8.7 pips, TP: 26.1 pips, Entry Volume: 4048, Position Volume: 1.15 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-04-24 23:00, Exit: 2025-04-25 03:30, SL: 11.0 pips, TP: 33.0 pips, Entry Volume: 954, Position Volume: 0.91 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-04-25 15:30, Exit: 2025-04-27 21:00, SL: 9.5 pips, TP: 28.5 pips, Entry Volume: 2440, Position Volume: 1.05 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-04-30 19:30, Exit: 2025-05-01 01:30, SL: 6.1 pips, TP: 18.3 pips, Entry Volume: 2066, Position Volume: 1.64 lots)
     - Trade(BUY GBP/USD, PnL: $+300.00, Entry: 2025-05-02 12:30, Exit: 2025-05-02 13:00, SL: 8.6 pips, TP: 25.8 pips, Entry Volume: 6591, Position Volume: 1.16 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-05-08 06:00, Exit: 2025-05-08 07:00, SL: 7.7 pips, TP: 23.1 pips, Entry Volume: 3710, Position Volume: 1.30 lots)
     - Trade(BUY GBP/USD, PnL: $+300.00, Entry: 2025-06-04 06:30, Exit: 2025-06-04 08:30, SL: 5.5 pips, TP: 16.5 pips, Entry Volume: 2618, Position Volume: 1.82 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-06-09 15:30, Exit: 2025-06-10 01:30, SL: 8.7 pips, TP: 26.1 pips, Entry Volume: 1961, Position Volume: 1.15 lots)
     - Trade(BUY GBP/USD, PnL: $+300.00, Entry: 2025-06-11 19:00, Exit: 2025-06-12 00:30, SL: 12.4 pips, TP: 37.2 pips, Entry Volume: 1584, Position Volume: 0.81 lots)
     - Trade(BUY GBP/USD, PnL: $+300.00, Entry: 2025-06-15 21:30, Exit: 2025-06-15 22:30, SL: 5.8 pips, TP: 17.4 pips, Entry Volume: 614, Position Volume: 1.72 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-06-20 17:30, Exit: 2025-06-20 19:30, SL: 5.0 pips, TP: 15.0 pips, Entry Volume: 2300, Position Volume: 2.00 lots)
     - Trade(BUY GBP/USD, PnL: $+300.00, Entry: 2025-06-24 02:00, Exit: 2025-06-24 04:30, SL: 8.0 pips, TP: 24.0 pips, Entry Volume: 2655, Position Volume: 1.25 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-07-04 09:00, Exit: 2025-07-07 02:30, SL: 9.3 pips, TP: 27.9 pips, Entry Volume: 2297, Position Volume: 1.08 lots)
     - Trade(SELL GBP/USD, PnL: $+300.00, Entry: 2025-08-12 02:30, Exit: 2025-08-12 04:30, SL: 4.2 pips, TP: 12.6 pips, Entry Volume: 877, Position Volume: 2.38 lots)
     - Trade(BUY GBP/USD, PnL: $+300.00, Entry: 2025-08-26 07:30, Exit: 2025-08-26 09:00, SL: 4.9 pips, TP: 14.7 pips, Entry Volume: 3411, Position Volume: 2.04 lots)
   Losing Trades:
     - Trade(SELL GBP/USD, PnL: $-100.00, Entry: 2025-01-10 07:30, Exit: 2025-01-10 08:30, SL: 9.6 pips, TP: 28.8 pips, Entry Volume: 2125, Position Volume: 1.04 lots)
     - Trade(BUY GBP/USD, PnL: $-100.00, Entry: 2025-01-20 09:00, Exit: 2025-01-20 09:30, SL: 10.2 pips, TP: 30.6 pips, Entry Volume: 3592, Position Volume: 0.98 lots)
     - Trade(SELL GBP/USD, PnL: $-100.00, Entry: 2025-01-21 23:30, Exit: 2025-01-22 00:00, SL: 10.7 pips, TP: 32.1 pips, Entry Volume: 1850, Position Volume: 0.93 lots)
